spectrum,imaginary
1140.0,-0.0
2245.1696454674034,-30.573181581289884
1881.301690399189,-1318.1344030627897
1159.7954001714554,-798.8178405701569
1218.7158802961933,-531.9757057216239
992.0079615219555,-582.2164450199344
294.97595932884917,-244.30667212115094
357.1848383412927,225.0385088109648
620.7205578006543,1548.6712225559086
861.080288163739,1421.1224873622068
1412.9327447205958,454.7320285504129
706.5742690221595,-47.65277728194851
1621.5630855899312,1588.3892740239546
1819.7877669484674,-796.6444029952713
649.0693511261761,1603.8386463365587
2305.6706289512776,1604.9516460627535
3883.455051407608,1253.0725952413363
2372.447089969095,640.5397156041939
1499.1976008880033,-772.0464547472284
-326.59603748285076,2558.8066488638
3181.226596357319,3147.2577492022256
3569.407287139428,3674.665398800068
3508.906175992084,-1075.2327689900198
-849.1992328321737,2492.1962305450807
4029.8539701541795,3049.4298575879357
1591.6406828202166,1525.4522019048395
3128.750441768664,2166.397144126815
5681.072662676406,941.3760428947187
2756.391713792908,4064.5362142770105
6478.600470199999,5280.265070149156
203.18762880115315,118.11999751992771
4557.889210453831,3246.5864403271107
1061.779144426111,7400.198302770536
14635.213885809511,2760.2611663707066
20514.768228648303,11755.731798706183
11733.135880418362,31157.303544451766
-17370.631354089674,29007.06865861691
41906.38616508411,-53394.85260833804
-435857.01375485014,-150107.45666911817
-179593.71996565216,96862.41177490173
-20041.797279997954,-39050.83116900661
46808.24878539457,4924.7556759048775
15586.059514585302,-34812.621837314626
-3392.8405435331338,18057.835084184397
14030.325503079635,13871.228807337857
9482.367369625892,7492.355576437796
19181.067276407353,1082.2461598709474
8680.153573960799,-2581.326657271186
1899.766272213312,13966.93981059152
-38128.499731903874,6659.479956698502
-48790.20166336675,18877.643420037253
1177.622707870708,-8954.539603438652
-505.2037508232387,-34193.99581898994
18443.787144132257,10432.772852974365
1467.858406514181,-2772.6055106096783
1387.8130956188504,-22562.027305225733
-57474.87450134795,3650.998902178054
-36657.01017451705,51657.577081111
-16002.399709370891,24136.613081653442
-26154.935287523516,-27235.639533616195
31500.96294503671,-6896.655676222254
8702.672920360927,11112.36026187241
-20728.1466607579,39382.30484313619
-19783.592055584,40986.36688522903
-32352.581049033786,18705.350507083876
-5847.909540237359,-34108.03716412865
-7909.217047079289,-18705.660639246806
-20221.517901180217,8593.331824674991
-65140.696258473414,5193.3067514593695
-43.844197823935914,-644.4195497457175
-84280.5071214157,-44694.72807075137
-21860.553229567045,10041.806793470601
-18733.445445158584,15658.006232013939
21243.42419557323,24195.629866612726
-16458.82171865598,13361.682020460266
-70763.30503625948,40645.987226999845
21366.552914254986,-20742.337379071043
31505.9026644009,19464.338423966634
-4346.470386397283,40711.432650078204
-91464.54188594363,17995.392897553527
-82515.35603776311,-83504.4438078696
-16795.101949275457,-23701.270157028215
10071.85233533844,-33747.40286501238
-16520.6347911196,7881.319254246488
-6556.520623501785,4868.4287045488945
-1212.1603454968938,-6315.118029335466
-23391.905371173732,-4660.81771363203
6159.513395136799,-7695.721421298712
1169.3179710599034,-6466.97223686546
-4667.555135815133,-3486.0975027409618
1016.3178904594735,-9594.759948744804
