spectrum,imaginary
-6262.0,-0.0
-6068.7947919838225,-169.3617621942413
-6032.295533930292,-777.6132223812186
-6374.477907815907,-622.9472114061091
-6502.69564906917,178.46850442092517
-6325.99388982818,-257.44511216835065
-5689.57833249112,882.1917379955898
-6167.273840729029,-24.944608961239517
-6714.025933689953,-156.72644444075377
-6858.748459520004,-48.84407151074252
-6776.442831627623,-665.0579506196121
-6873.207248474464,-757.428058060357
-6569.056490068075,-714.91974608693
-7000.154188593053,326.60952592939316
-8236.859210254926,-1739.6234472311999
-7525.811172142474,-1169.4805146460258
-7592.11214048331,-966.517693371069
-8242.41711224032,24.936125904696844
-7721.753397513676,-41.96393111273036
-7849.269981883849,200.6469920870929
-7806.608178095119,663.7611085623404
-6649.040643608785,-730.9234428293884
-5215.973601914851,292.25488585819767
-5563.16608068606,772.6945943948874
-7331.473787137103,-430.7847256686315
-5500.988283425557,-1010.2556662066643
-5487.012751468863,-2398.351608992319
-8875.401029592871,-923.3312957495125
-6389.070790417177,-6044.328028760139
-8879.402591240572,-2061.410142913169
-8007.645583683726,-2906.914721235756
-4509.477171770336,2882.0509923005975
-18233.28517254855,-5850.87653632184
-3534.853734113768,502.4958056924354
-15465.343445633416,-22131.70185676065
11130.078021861213,-43383.01608139043
-185644.52018158793,93215.26273218446
-52446.75192111043,61550.67339473203
19555.132584994382,63269.054412760575
-32524.84020249379,15472.605595645928
-26398.531076054787,10676.850145870318
-24184.64853875125,29450.82386254822
-7533.4896779524115,3283.3479242767203
-12071.267137583925,-3139.3422185667296
-21371.807368889895,-7839.694884288805
30856.0710356176,7189.79012483377
-58595.833580308674,911.930292355803
-11737.873194972964,20603.545182262777
-17662.0931077224,43892.6833097051
8678.655289545612,-3601.358342123105
-35484.03934973736,544.1102965886237
-37283.918043005644,-7843.125795739625
-43156.47039402736,16288.069161047142
-1179.576085109375,52608.11658786111
15878.647115337091,43812.770613498906
-10162.388579390821,-3616.478979770711
25592.86186896517,2866.5745838054577
10855.238918059584,-7721.821181005013
26457.44593398544,29908.153446424712
-13019.999205432785,11936.956830242363
23284.231272175115,-25072.25851530186
13436.524652908098,-40791.002550649646
15411.571116332121,-46920.39647516431
-11696.401835287166,58057.807826732926
28668.789136055027,-15422.348506707298
-14023.040340421696,36697.68117071087
-46087.96345524992,-18501.37579895004
54696.16489791716,-34756.43252482839
-22259.74335050281,48662.96482908985
-30329.123285547576,-35166.96301890333
-28265.72134684825,-260.35297861459327
-44493.0950809227,-9017.868996879932
-34519.3746569046,-81247.52237693673
5878.743062371988,93785.14948786728
-97074.2626949098,-67622.35046885136
18641.50534102194,-41199.18857208051
49051.29165899651,-83832.34734369445
118689.9978089894,7434.983714844742
28827.590719550004,11144.655488230397
20652.52178441106,9670.772966321932
55549.25855770094,27550.86498381572
-18378.38536904158,9912.642465966397
15520.55182249875,4324.252571291672
8069.738804201794,25720.651289941055
-4471.6731131183515,10028.744255384376
13323.27806255885,7250.717613337871
13584.093857764767,14654.26699567883
-8171.879131654189,8725.720009602126
4473.9792424209445,17568.90379494845
17236.691612508424,11377.349843295571
11682.30122003458,15812.507344756643
7321.494164427737,13044.435298949918
-5168.298164730614,-3367.017910218906
13552.008807750219,12278.041050821183
-4050.086247757652,12429.739749138382
-9089.121949064891,15130.17431953155
8615.06871051131,5394.619284104234
2860.464509758477,81.91763595515967
11778.354059845198,-1781.3712727745437
2740.6999756388086,-3853.096680122715
13351.673814593276,-4790.430837866539
-5815.796093732804,10609.39658510634
1167.8142495730501,369.0638103549161
-1128.5478128688906,-10174.559273699437
-1397.1086434724173,1681.1703597681537
-8366.140058581073,2110.2214281854654
1108.2623772308038,-1149.4331926800116
-9050.872980115382,16932.59219598036
8233.28735817287,9653.532017240255
-9334.284163908684,-7784.307593131004
7195.13679246205,-241.4958690499967
-11445.022998084507,-3151.578287088349
-11237.962633984778,7396.43464813349
-8388.008488260757,7321.152279638868
-5472.272357363344,5877.447721164855
5471.443853092044,15025.71452003155
-3099.166051987802,-58.3317206739908
-316.0848526128209,10128.749307161239
2375.0592216847244,20319.19291502898
-785.072445748894,3644.4466972032997
-11870.135972690117,6620.537781882045
6249.579262246927,3815.6272716392054
-2849.6443403322683,-3462.7897200572706
2653.555929456405,6431.821156693375
-11940.353817266383,8232.312548628583
1582.3073427640154,10529.943416045788
643.5358420230953,-9420.75901965146
2882.408692019574,1839.7391186942673
-8418.725622693391,205.02920607571969
1982.8470586474295,-4022.1830087212707
-10333.651163957351,1192.6160548350986
-606.9035893188407,7111.65280422016
-2359.5174325007392,-3613.594362878248
-9935.516504298357,5038.581160676866
-17250.313540917618,-2502.534752779281
-2508.76916770113,5520.382986155148
5831.790559045323,11612.092701234036
4185.218357152105,14971.220794643448
1997.3137003822821,4441.622940590078
-9628.867475355692,19526.81008229651
666.5054228411477,7515.547010620885
12600.932885762504,7068.185961390147
675.7489573116605,18313.202635130823
18089.33506192984,34949.38794504931
22134.989462455233,22863.996506174855
38590.42561533548,11520.153067427744
28430.31513578573,-1807.5329750181643
46583.45324387733,-6751.912286624919
63759.23891045558,-28430.254956299505
19995.166518285932,-126379.04011164866
-57848.61493714411,-30213.52099890524
-9171.33419301783,-3658.6883720425694
-3770.2570486934087,-16880.55061694979
-22774.621853997687,-28798.8750461221
-67737.95748667844,-9367.658601188696
-36618.0333595452,30586.843156384133
-13880.009290329355,35102.88604515456
-5303.549572820042,12288.358322644388
-18986.225119272312,21336.248957398177
-4829.951528079635,22455.2811931532
-1865.749235142409,21626.286521133705
-16316.205956002857,6489.535691627625
-15369.135296050215,19142.385762282443
-4136.867471500114,37021.11121247107
24772.33811689889,19487.2163816177
13982.980039906013,20889.921317157878
15199.220274671048,6194.394630001213
36118.264890169055,23322.98659669648
51220.04397139289,6947.8273782615415
41329.69386072232,-17629.925312664738
31803.049623877763,-35642.73829618162
21230.17610762641,-41200.29059198262
-1331.9090399398074,-30852.161068570007
2125.6821242110846,-33615.83905235752
-21902.424496010884,-17231.695868522354
-18111.681695388084,3607.815164323239
2575.5081404642833,-6655.905450337864
-18158.035642961728,-9699.889922298567
-14724.972364038638,-12292.67299656685
-30796.22482044592,-7660.711995814613
-20936.671243035224,7480.883823247506
-13775.649234514056,15900.847055987555
6043.2804480468385,14178.767325618315
-5499.478227544803,1054.9964651420512
-5302.51379391892,-5043.6164752033255
1653.9035208883429,-178.016629560588
-1295.9053047980897,-699.0788830198957
-6190.191301766803,5717.586575510726
3661.56637642464,-4429.115687626605
5706.059026848208,889.06437635512
6594.492343875605,-9313.99793080889
-4775.585012950136,-16198.15849904445
-8963.416181538088,-7338.205586366804
-10756.302126514016,-13048.733288124477
-12324.456481416732,-6647.923604517422
-22037.193795154664,-12083.740944436324
-17630.479071939408,-2401.6863788974865
-15162.933524728427,361.77418306393895
-21898.998762452047,13011.079349872836
-14534.20210141956,-7386.840975397294
-9710.493053758348,-17420.925298451522
-52619.33882156138,-8730.226144999879
-42420.08197103351,34406.13995186541
-25056.886132722146,23751.939405588295
-21689.431554515042,30633.169636999344
12415.673071312558,34909.74403017406
16805.070257740554,28657.93715959804
21874.373289803567,18434.787601339227
32997.43628973121,10345.27904972198
13409.898786001831,-18608.31184004613
10592.239290664682,14182.471432905
17644.828948083814,6213.307701612512
31012.451014705865,5939.292001996019
30514.438374508107,-32003.11569629771
14786.719236740872,-39740.57431834924
-6326.381760385684,-39611.9542680232
-10076.888639895617,-23930.447822097245
5862.933917685481,-6314.663974373209
7526.349731147948,-8155.500479758597
13387.775335569448,-5537.469401384735
40636.86591734957,-40115.1174546526
35839.98003662091,-96396.36712267218
-42561.612478236704,-74428.50528846006
-21764.779079815402,-51895.21401125635
-24070.28714230001,-76151.83425981773
-97448.3754690563,-46571.823218989506
-123801.10791135578,-50383.81790460886
-131915.14641352065,-8405.644936227105
-146991.76605986766,3664.7750749368724
-132892.38778455125,69339.53226809105
-63081.39032705066,169867.64958551875
-29427.574109903057,59503.79702602829
-20450.58442032883,8031.802719487234
-45874.00231729477,63114.57036390697
16598.005249719965,143958.3011587725
101131.1925031639,51501.126370108344
-26207.01427967071,15624.921876608269
136710.75993198156,47742.044472711576
13100.23646556659,-79678.35673083295
-74697.16183801802,10096.060361735677
25442.153253197226,-8643.718219304861
-25457.880213676464,11788.2494927344
-8288.601545595435,86452.49801476864
15543.57734536487,-17407.57080908676
-52261.0268489453,21460.552292194363
30354.57230930037,-91811.64145850504
-42649.408282700526,9312.353488184339
-89990.62866297596,-7704.20330188959
-55916.14592864849,17864.05636293911
75629.94642782892,435211.42343186866
-658800.2361077596,-179561.94301709213
518636.78641347814,-2304190.9761221865
-639726.6128938132,-8927.002003451318
91022.63925818927,292195.2255852604
-317110.05464093003,-193719.73873775033
-107356.40002924213,194286.9014807774
-17665.993069407155,299204.9215369457
40236.47926874973,209795.19201607496
181045.4607588587,57970.462041189196
153388.57287161716,124714.02979897638
187287.0780972095,-63314.6998936376
32284.37034811477,-68623.01843178978
-119142.79688911788,-983.213371196674
35635.17412684066,100812.54328777819
-46569.120111985976,23002.82671549895
39907.511672219305,137260.50909109414
131462.68778180843,59825.209232087116
108503.8603585782,33328.38838556722
115992.3133270678,58783.565282785254
133595.80092318685,5610.63899499869
84196.83521911304,-32687.119034517164
94149.62187881883,-74994.26076990845
126180.83521545505,-124497.0276563915
-26029.310173762595,-231385.5080250359
-68785.01400941228,-156213.59383903557
-79403.17757738744,-116997.6637570218
-178144.67790233763,12711.388572206224
-59192.39356216305,4781.550919742722
-54808.94824687891,1415.4258950281853
-90492.48050276528,-34411.37796184647
-119146.63327030762,88329.02381209118
-55171.231949146946,29362.741890765046
-36847.52489955785,69558.34440874649
-56786.37510541318,170714.5813482339
48429.98657158977,72636.71112060468
59546.12679644953,121647.17821682346
124319.63169483119,74234.81407743375
32886.42984008826,51249.532422234886
146410.80143039834,22915.914448497337
90038.7116454734,-60131.07661962825
20524.12855506831,-43194.458729914906
77808.74426211536,-31049.848131422114
36758.74069065941,-100064.59409962455
26228.37164823363,6777.951486616846
53864.23610405056,-28921.960082777143
6241.03293357304,-44587.19518830466
7676.545892968156,-29667.577948530903
28514.355699126434,-38903.585080341814
36926.20876155502,-91625.14381581577
-23728.905131885025,-130849.04500746616
-64229.38698386321,-41812.2869065448
-91537.62752549822,-69178.86917935043
-133028.7097675519,-2002.4518784945872
-91377.05890430804,11528.097912075866
-91866.36495753186,27115.739360937347
-109037.47275373779,47171.09322094138
-104850.14534242667,70848.98288996657
-120710.39001756551,135791.69558279405
152.80211879186209,196528.26850294374
34264.547995965586,139806.93951267214
-6674.682178370358,76404.65528914204
64559.63944560211,147354.7653455589
119130.0181004059,123440.86983900794
86600.24676591519,-13506.243358401343
124337.02866549815,132253.08021278898
161313.06071895978,-16147.634365709473
192074.9738221527,-14806.772285066949
103026.05810296476,-121581.87708043365
86479.4079793636,-81227.46976617727
69418.5506947313,-150474.76975643705
32897.291824998,-131372.45546852474
-2939.1851699666195,-115713.49743645158
-83050.79382909778,-162865.87344633086
-68483.13602033818,-102877.7109440936
-75886.56142897427,-55990.93390582266
-98975.45266636965,-196424.11397742492
-140823.76498602907,-18366.011647481944
-136023.84391641518,-24946.82366527879
-172108.5254793121,55625.601960222615
-88360.44072163754,33929.54382677523
-94465.59708848713,119609.44197479713
-61684.9983949251,53086.054151066855
-40407.73790055831,94227.9696146578
-21478.35331312769,53151.14692626773
-29571.69700621989,52696.20770439747
-52534.986038323346,57509.28801493353
13423.960145170931,101352.04405677447
408.91045296604,77660.45921313851
20907.271114918578,86459.22901324602
-17595.55473106844,63437.92806157158
65037.71173261944,119315.20041576674
57794.92404381622,53381.44987441779
42508.303963069295,56076.236712972895
57500.743124563334,110081.92167899341
162232.63370712893,29800.484079766215
106953.37002321664,5930.846346836402
151870.41316791577,-27770.840872117304
51934.493434066,-33095.71387250125
106212.15121702313,-68408.89348634618
97826.7456060834,-87962.71407296768
54683.24882348838,-117930.84727635657
21474.976026548935,-136302.85936797378
2161.3237764182877,-207312.83181103488
-110642.67959955246,-53895.52440653571
-91547.8475204599,-106942.59997022353
-36245.029658343636,-32724.69048467684
-85160.61368969428,-70235.46009213675
-132638.12593312678,-29668.08123320209
-87694.29265080058,-11947.588064197796
-118069.78144024312,21195.290664895
-73586.43126316382,51745.3834554373
-77038.87584698445,23104.31514609245
-105069.67922350916,45344.08034645052
-52885.79810747722,47235.35863592518
-85038.07429632168,91769.22766843965
-40528.26489830177,123361.78035987908
2485.5913889819794,112357.87273969538
34721.073974282524,104243.75282932862
43204.69543064946,44974.190732302624
31289.021357705653,60966.95060294137
47201.27966267227,36641.038229420476
32033.528242710898,30017.793531283955
22088.59596720221,27569.187114280838
768.8648395652713,27817.40604129173
31928.513990965082,50585.47448492207
-15647.762330635614,46997.76970396772
49668.47046183204,77468.01263906098
116209.49757811526,19257.914250674068
5937.71045319038,-26481.83343608942
15659.944807301908,21958.500338955455
115559.40157939692,-11766.398022972924
125348.81716335454,-10667.400433516734
84630.56230308257,-25478.083013576394
74224.06082251982,-124637.92489439572
89732.95505438164,-90219.977266359
-49806.581693423504,-181439.83555593085
-21960.49453256575,-101309.12671588092
-46719.96932247297,-115760.45264349156
-175480.51489861586,-127107.11548144677
-120133.33873119898,28039.474928446267
-110967.5773006845,-83192.09934078343
-149352.20821123035,32695.310202259207
-78784.00059279945,74936.10824589767
-52211.17187973429,42735.87153199997
-63402.21167582602,61046.75584092231
-43248.53765366075,37762.96968774329
-115657.78016493891,22542.963661706046
-116706.1571735086,91963.04086244572
