spectrum,imaginary
2228.0,-0.0
2102.5658157326334,266.67828848504763
2732.957887066019,137.88950010239867
2474.1348426439754,265.9146280209196
2051.5977006630974,438.9888307695851
2540.786828973118,168.29870488517082
2000.408786250611,43.26374386113409
3963.4003798977537,316.27198566309204
3785.189341046291,378.0867409090893
3426.0172974956986,463.4294479218114
2907.7457824808466,421.0631894666504
3375.5216955373735,149.5000536817705
2687.2777554345685,-391.3062168620871
4416.040157973919,-1639.9762682298756
3352.367882784773,-183.79739626464817
4791.6442181245,-1021.1342284410409
1789.3224052981063,-742.7672045002158
1194.2660234970958,-1004.4149331894939
1737.3577219251658,-1456.9270309966696
2000.4074819052194,248.9181479906353
3503.1644633989345,-455.2994814486145
223.26641807832166,-1016.2099674315441
1503.8075177076082,-836.1765148657067
2745.2871262139024,-629.0707832234118
832.0642996481711,-139.30424789514376
-1782.0062751254427,-3266.377001961694
197.4662238818517,-422.7435331611638
2346.49621918047,-814.3789505459529
-2582.175024027925,-876.356604188557
-5470.676159818752,-4118.817486832137
-8189.416011318684,292.91669477399125
-5995.176006857402,-12600.003308186533
-3028.008535888368,-376.69173166302824
-700.10618773745,-3547.060599090887
-19486.827847318,-15111.179623439446
-23688.958511102635,10624.089019415911
-41798.740034432965,-23477.469276493226
-43698.392761440475,-8983.018791064493
244259.14890690683,188798.43219856062
-3909.8652065046126,53352.19499305759
-17730.25976476039,53561.2587980805
13256.602861661813,1789.6466583141864
2497.46891165332,37656.38717575981
25335.44299589921,-14179.435040148954
32946.52797707076,-2875.534748242567
2274.0234896613056,-12553.410119386383
16823.779535239762,-1830.0654082848737
9868.400170824933,12351.763901637445
-1824.0260622590336,30443.701424363433
18152.459638635282,11951.12596396782
-2118.428260860851,-38648.11870667645
1744.2480811870023,-6162.013093009218
-16550.67710616285,-11659.902930282748
-14108.689794540442,-12544.65708360066
9634.610485674973,13926.77046202241
14590.247586675325,-20965.7436724385
27409.84625768765,11845.275351549388
16296.392209722191,39497.783994670564
-17173.64800018932,976.0697826878771
-45892.76717328081,5613.887433205675
-24028.040483798744,-19264.89367773229
16083.84431907016,11928.728905806583
24991.305960870086,4949.315816147977
8851.037698709633,31004.141308920654
30569.662477010566,-9788.519055194309
1131.125558271862,41786.024298470234
25613.30814115595,36890.42435334175
5092.945709034811,-3396.5267131189717
65181.74643045562,525.1053399591896
75.96867234153986,10352.934902611425
15261.017904933811,2116.2082795381284
-15750.146368771047,-17962.927546909676
13461.433463431888,20303.858377013858
39919.788635061945,27412.475389820407
-2320.6171690530073,31128.22397255748
-39228.65560323751,-46.22622689497301
22596.97445868511,28611.640495071933
7966.124995401404,28460.103276829243
26128.4232554918,46028.13307802909
82003.26877191782,53173.12718131432
-106976.04712144542,-123629.74992435485
72427.55752401674,-127781.86311490598
36969.126921722476,-21588.252925780864
21371.62968248318,-27060.391533031656
25508.377932446325,-55917.47512962724
10936.689619494187,-18215.066166878412
28257.241364494876,-10584.08422553412
25723.89036037991,-6857.632893243686
19701.795973455504,-13421.80351725673
11892.492145868295,-18107.66849965619
13687.986689400717,5288.003729822671
2794.9080902751184,-10404.581852238472
1374.3326042619515,2652.3596759739858
16407.71012539876,-1127.0108500942106
1243.0816687910155,-11146.680946049906
8024.491501485363,-2295.3850659038553
995.0172337431321,-6622.7634929749665
10907.970327933386,11983.123291404407
21743.689047441574,-8012.75309714276
25177.59883607916,-3400.0500186746112
7519.99772362926,-15253.779428496253
16844.469176994542,-16581.97543274102
21710.882970265993,-12183.844596980209
11158.605090587118,-17333.33617044575
14008.868377355166,-3321.428662560546
13306.959605135453,-12969.50479997176
15778.889122772358,-7697.92143321517
10031.041356000496,-3373.406445016496
-2578.8531903593466,7919.229304887303
9809.085629454792,-6557.936321425817
4790.222275993803,-3155.726627509208
2584.314808657413,-13533.888205349955
9400.190095421545,-12053.692849830717
1630.0677159443378,-14741.037233674744
1301.5395159206603,-8748.334299976115
19803.467471101663,8010.139353876515
16004.821455425976,-8523.531554216457
11178.466409049624,21026.736269302717
4437.0025242418005,-5486.465845758178
13268.42391088819,4819.236244974257
21214.253499207436,-14008.78669949086
18423.004656826866,1614.465071994196
2678.412270136412,11059.480690629254
9154.776030726342,13966.112753655663
19353.116560283586,-3424.566465229236
16677.428712114124,-555.1520480395521
5054.314570655961,-4306.490826428406
6818.801269932806,-2480.0937856490236
16127.300612795396,4726.407791740587
