spectrum,imaginary
4792.0,-0.0
804.3198574982498,1414.9061486253431
226.56327325270695,114.20983666680672
491.81828696695277,421.4629974279955
906.1149423740803,132.59325263444623
1202.4881056504819,-338.93669967895266
762.0891169073359,-577.0195261823186
997.0980903335806,-672.4148984320163
573.8535957468607,-85.75074934815154
1244.745773083357,-112.18228003453636
1070.598662972333,-736.6909815202929
-382.8965240202568,-544.4563749078327
1435.9992354972069,-125.33648042568166
1185.7545817294504,149.2591511286643
28.136155856440716,-289.2864605631867
85.08115075094686,987.0967611444971
-881.7189879748377,-2387.7851572916165
210.91610514148732,-750.3549539798119
1671.5391512897086,1149.020616884714
-5186.172038773308,1949.5706934206414
-1570.9908450339249,2889.4002207810436
6915.906586908417,-4173.772681058346
-7123.931378115298,-13010.452001620608
6265.102816518571,-9835.417790177737
-7811.932455150574,2559.4025787112114
-13304.27030524617,9763.754914528387
-29091.839046683515,-979.8421571034537
12718.921369524736,-5850.253336947804
-8117.3380206910115,-41741.74761504161
-19563.985102850325,-59669.433911835236
103347.9382489096,205390.88402806543
32326.162172723663,-56977.45360998732
5048.75391641397,13346.254435914418
18839.756883010225,16501.236844722465
22135.42328383997,15554.26275744335
11732.427808180928,5306.428781249325
-1061.8068947627935,-5042.13707007649
-15153.423760720083,-13977.139809981856
1489.340788225017,3168.986077310239
16236.834787388796,-26726.685041943867
26491.31952199001,1806.47604301635
59353.57420400428,-25344.86694453971
38538.497714732104,-13116.050868983806
20953.80688556253,49669.67535915502
-9998.801282256481,-33468.93766660553
-27323.01245041715,-34913.03586493972
14715.209680249118,42263.60346645554
-14774.57695061702,-55719.304642835195
8109.3231021147685,28833.05049727523
-11792.630501589912,31273.735962875246
7903.559808410373,11167.506356242331
-26490.552362064813,16775.401487302464
-21359.130558561952,-69514.20687578365
16454.57632981711,113594.91924868146
30410.32026517999,98306.97914528899
46346.82675111079,23952.139753885218
7148.576999244616,-19151.44779701631
-1009.0722736572216,-19748.08645742864
-76915.7254705376,39620.23219626114
-76248.75824524775,67543.31601658963
36684.54134980002,66797.5994967652
87507.78229827306,-1986.313525862594
42744.521115818854,-37318.84026861066
11543.047025303065,-26799.483139904965
22470.89024699086,-20245.833894611857
24715.397023871617,-32954.42544416578
18750.195408285217,-1642.1182808836602
17961.558014040824,-15185.786127608946
101459.89529207093,3551.309648213949
-85564.43079037753,-15620.592588593749
-68819.64210127317,-37401.81273636164
-30215.16751964109,29769.46718551939
-7647.407080901112,-11723.058237716665
-3481.524237409136,-25669.077721417274
-8972.456676086938,-4567.217295627146
-5436.1517628389265,-32830.090368590856
8440.732227176475,-9364.655721380348
-12360.875459536168,-8576.5362063498
-8431.212277091687,-7989.690294424309
-22860.416190538883,-6362.070681003178
-10865.095160457493,1715.2858708064518
6623.50183823674,-7387.453728941872
-12779.24175076923,-13362.4633607318
-36570.475831399766,-544.4445650083117
22053.706478981174,-11404.8412346992
24765.33473288775,-42876.99301063396
-24919.9921892606,-35942.6586442392
-67622.85797513262,-16020.007197377043
53627.51435759009,20115.912982053916
-11732.346537524367,-3592.3037288190944
54849.90681076087,12998.796840528552
-3506.6419396585984,-28159.974091248674
-17347.11894835053,21598.032312020754
6712.5513754085305,23816.30718449532
-7197.934093098789,21507.67103380867
7340.619732779535,9883.339851326147
-9755.86104564149,-409.3993143999529
10387.38887328446,6793.771887516887
-30918.744750993017,-44909.94546520132
37239.37456477054,7961.728790698517
35103.597623197755,-12417.049347982944
30403.724277495032,14296.890824437065
26435.01378675799,60529.25659435418
-19812.758953632925,-6326.1007060910215
-11381.21767027512,39912.80128238961
5781.194953174812,100411.28326145538
140028.53138172082,71340.1935043451
67459.09431597003,-102962.89449230787
-62374.5820959129,-22437.285963565017
44015.26245512601,6663.430760244613
17415.506343039735,-54782.21282476657
-4827.947500090827,-4939.298400879833
-8523.705529886227,16561.779513204172
82607.97189548978,34790.47319618487
-19199.797251611686,-35958.900807965576
-9548.065360646176,-60817.97669536074
21344.36772026596,-42248.07458095955
-59664.66490731738,-9706.852050303576
-38160.64214576071,-31345.56838137029
-5530.571467536358,24400.716196112688
2456.880185519031,54505.91916946388
23809.848243503617,2701.9005590603565
7987.277406461704,-27721.209230170836
16430.43338734055,-7658.796635772054
390.52060998651683,-55670.71520466885
-27402.48320411292,-1174.5774382452219
-16636.325223233616,-24233.381127151617
-45973.35570291846,-57151.43268894864
-62753.65394399461,-6934.336416245416
-140275.54617136103,87303.13743510732
17126.853669324624,132242.90511496091
42715.91998762307,74864.00204270614
82725.42408345694,-44314.351106359056
-27394.311454685536,-53121.287441486376
-9343.475847527961,49777.58324610058
691.4985161758938,39188.0955117363
27910.125520948444,-3347.3680546473743
-6555.262901331696,-32765.074559990917
-48918.07962974142,15539.219268475123
25539.08224786527,67572.96498448377
-10841.503652852785,696.6331448610883
-21966.563518745963,43429.67449263368
2664.0078379550696,20922.6351795365
-31646.966186478072,28636.78504372974
14579.882180201894,-7796.158919686053
26518.873113053603,21245.42863306251
41323.060236109726,-56280.74150007868
19955.172509707387,-34345.005428359436
-26419.911112829315,-21228.143507283778
-57866.57306005766,15430.226261087504
19989.642768937414,17765.101651733872
-20321.548382017765,1594.6660144618145
10328.327285995885,19366.773560234717
16428.816276922254,5090.466849637467
-17157.348462285157,-21901.766413589117
-55900.96117398734,8670.423224078766
33730.81670140657,-103777.87535800922
50204.71863002682,-72252.81640478189
34151.05636070353,-37636.44475210525
-18943.229078109296,25925.220721196758
-22834.661662091657,30818.55217540425
-24136.56215332608,58806.71891703893
-5368.11022394276,46628.77777324527
70536.34886503842,5913.528167991821
-12582.370354303674,-45308.33973984973
27858.521221525494,10361.030354317327
-981.088967603101,-55016.22244974107
-8284.800624480114,-64388.397956552
-13158.938270450675,6636.680472026024
-30199.457811678847,66340.01377731093
3758.7062309388284,5071.203944876272
24617.800714570298,-13833.114523781836
9792.805257197579,3465.659368426147
6623.983536853151,22430.347103948938
14056.43146230952,-13526.58869022964
4234.4700312964815,-7037.664400041441
8916.522128130511,-13822.481009631088
-41787.544416326666,-5244.109124862739
22485.37303622215,9287.100679591422
12320.347892298909,14483.697521755654
13477.857874353518,1945.0914864108088
8056.393323883321,2968.7310781133174
7542.846716793718,-13787.852235396316
4428.159172544205,3232.441692430354
4498.07980506861,-26127.650667807997
-7430.778665987524,-1609.7085846013094
-29816.319149580508,-2566.109187929692
-10476.778016419268,14450.774459141077
6640.115549416266,-2415.8626172410823
832.036347077389,-14208.823151716384
-5834.474436662538,23276.53170483277
-15681.042503863646,1415.831662813082
-10224.515038876483,6828.613049092215
6629.1827611149965,-1908.9138058306412
2663.272376054496,-3730.417733760759
11270.691397377832,25061.71440556137
-5151.9218030634465,15791.396555474625
-398.9491637750792,9785.688061024815
-1185.9604957107138,-5421.896312246205
6632.4574809714895,22939.87832952725
18259.31108227835,8111.006570910791
6978.12281594618,-3659.88936742628
28013.48822795724,25718.056972727638
2899.1476133478577,-8035.3375342190975
4723.474306347349,-10755.866977754093
28945.462864392204,13309.983073766547
22836.973637831845,3236.8263991881595
-8587.212993219766,-1982.0641862118819
-9444.724782247455,-10395.031452752197
45464.35151220411,-10160.472937791388
-8898.249342237968,-34216.38401670658
13044.35259952645,8868.577191422155
-12253.142668354902,-2710.4406847457312
16486.977565585847,21154.099153752926
21814.942028533158,-21276.66722644257
-16019.063508040414,-9479.409643650502
6117.422933133817,-2601.0331329410196
15072.790355447698,-11710.064582006366
-9139.615598613596,-17346.182778853192
-8990.773191019805,5086.534354661113
17696.213418667263,8883.754634711178
4070.8757770459893,-8835.142257159365
-2827.360948541124,18419.323352521984
3521.8461935407277,-4620.36879719053
1253.3393504957653,1203.7970984011029
17489.029109972165,24121.61219915591
3304.6866297089587,-15944.854019305956
-13518.011170921898,-2158.373056942279
-9496.329597865833,13197.48559843495
9865.916447645901,6986.500601305526
8092.335731267837,22361.76930316826
9737.437757212583,-6567.229249193864
6689.173456723496,-18988.477892279818
-4981.422372093461,-11310.094070168789
-11714.18258711873,-2656.810112059538
-11898.349473782577,-5144.746331218656
8950.973383020071,-14204.6475268332
-10210.807591480982,2709.4839460483895
13325.579471746232,5100.227542004191
-11913.468621675016,-16770.421124201494
-13041.478383369218,7399.8126877171035
-24875.780117782066,10999.72372699238
-7670.832348414556,657.36409922968
-14191.189633525064,-9281.374858953819
-4968.451484906029,13490.48075795134
2365.784566346976,9299.88077530386
-1836.3013786137412,-1584.505000017012
13135.09942544522,856.2874105399425
7114.877057053762,-3513.3233124780913
-16572.425378145766,-8986.500144532169
-13927.840582224733,-3954.144231413062
-8058.883020208043,1164.2912181052575
-10533.361642538981,2820.578015556041
-1992.9835107093622,8449.390741855785
-7727.7465331577405,18730.12805376452
18936.90040074315,12659.352995522597
18082.680849532648,-7360.06031458506
4903.874889447003,-5835.692639347107
8817.21427371413,-5533.639143754428
2626.224943522778,-6504.710253464173
4688.018054567625,8101.720197764454
5967.045759009147,-4583.727345052194
11373.597154138643,-6537.065770632835
-4720.032151176949,-19967.122193880572
-5025.878717165745,39.00647142145695
7288.983387979157,-249.01763186276946
