spectrum,imaginary
-8832.0,-0.0
-9135.214499443784,-64.0743325611092
-8789.405318551697,932.1008843720937
-7582.45837201073,1055.4983800218695
-7201.241591290136,616.9201042497336
-7584.496990724263,1507.5580985096487
-4593.979566501406,3111.7537413462624
-4466.176954794484,5684.615585243853
8699.133640502476,8809.390905921759
-19876.569418456387,-19186.34381998879
-33571.749228093555,52809.210897476085
-20204.517997297102,-50926.74194958694
-19717.871830669115,-10705.99543657633
-39251.801673808084,-2495.752079901201
-27909.991520117197,-7920.881369528814
21775.39290850837,7219.721614487506
-22834.896469509767,-1618.2552791904473
-51026.97046703764,2851.153410053117
-43072.06570795343,-14130.324405693758
-6199.863242195943,-1827.182643612763
36444.7897481293,41848.760937311294
26833.66190456206,9399.907788367886
-30967.907819368265,-23108.94481754064
-14830.816348449596,40799.497201646285
-13210.33111482162,-4844.860194321828
-24963.86503004098,9479.370374321084
-9926.91529931099,4579.105815528621
-9963.053886899452,-9255.470828689686
-13119.9791886918,-7776.214494441254
-26780.931177975137,-3736.9430513366706
-11524.918953189086,4250.50394402276
-18227.031917061242,10857.481593857812
-20064.974753810035,-445.5561887930571
-1714.3211352786864,-2360.268013868757
-5405.374514342448,14576.154111495132
5341.804029950725,-6817.750213017447
-19193.856055224078,-16218.270651577248
-22319.7586091117,-1735.5916317317663
-14533.945070461126,282.2658095126717
-12502.59905729351,-8948.079165996534
-19054.06932242561,-866.4677540756061
-17443.721607426207,-13665.050213190869
-3259.0154099771903,-4891.116873918246
-18649.577579187848,-10259.313963560544
-9773.004317474155,-11640.08972878668
-21503.007640728178,-14646.312036593437
-11601.811827649635,-11016.781329683186
-14564.550380449607,-9050.469303668819
-24878.658774943236,5438.094085449842
-847.7903326584063,-13088.798665126815
-29615.327125199743,-14271.940028420342
-15336.22563754327,-10361.621042322598
8360.317193544199,-40570.890295591526
-30797.553768432277,11441.014548796535
-4847.067571769894,10224.587215020763
-56595.56991703088,903.3406546429421
4232.980593759703,6247.204338125266
-13338.044236342912,-45.261682225709734
-23429.94194439393,-1257.0503275361075
-9553.192284930363,-53.4676002007835
-8581.727909341278,-4721.810459495291
-20587.767712500623,-24395.467280962708
-14564.59877659028,-13124.743838013954
-27806.033857494673,-5472.805279103551
-11735.031335015432,-17792.454728250636
-37383.00389720539,-22767.748915021322
-49595.42351011619,-30843.768262205587
-44495.01157822834,-6824.391864279662
-32737.374693632184,-4280.286588477677
-28973.16436581175,-12407.023196630718
-21024.30105828576,1216.993643064403
-29645.53889268884,-5313.422639737253
-36200.68239097487,-14081.171834323724
-38262.91628482346,-4662.03297008385
-31355.8311965469,-11631.32894726743
-48547.87120722178,-6661.74936642836
-47508.715923212214,-1654.6083450693807
-35753.21616867547,11190.355484759191
-41478.59804856182,-736.3110935104703
-44387.36306010359,-2518.74398270818
-57796.63305696573,-8922.677232386613
-63042.866519355804,-5248.528532546437
-86475.09415000903,31143.56892825998
-63066.144166201266,54902.376766886024
-45315.294827810845,86113.52988459198
-23897.61899254797,72628.18276414427
-14691.53928043138,110066.62793774414
-3875.6248986468745,211318.58744134457
760103.9325088938,-519011.7307910969
-193950.19580823864,-95466.4672446737
-166488.8878644955,-190811.0037795307
-143513.18326304865,-32280.795939750504
-138668.01967771503,2019.7727511838702
-163720.07522336184,11848.820236832096
-132379.75318527475,84687.19173168486
-65640.83324900837,105226.62124066008
-14836.261522852386,79198.83590952346
-8778.12272598422,26835.37142847886
-40123.02439527228,-8851.555122967498
-82455.51780959255,8908.016432327862
-106701.01089470525,96219.01296971165
-58682.36311354867,94040.30796709219
-15133.482187845391,59108.72573407559
-28860.37992172355,68651.12779674688
-26563.447335436234,57913.87520214899
-42309.101300494454,59068.00104920505
-25002.401764490292,42162.8908024313
-46755.43091982405,72434.79881153132
-33092.6667492659,98720.61206301983
-6061.863548343759,81875.7226766881
-13621.216305624026,91395.87926521913
3463.43174647436,74922.06336360448
-18193.64707535184,65780.05697012745
-18569.29200100343,76251.57978404898
-16248.138964826012,71055.12922320054
-26630.31025630437,71639.57295597982
