spectrum,imaginary
-5054.0,-0.0
-5311.386700017169,-285.1343849569443
-5463.863291682635,-80.10170740194972
-5758.922549902265,-77.56586842868441
-5974.948119298668,60.61821511697797
-5926.202745241001,750.8484335324575
-8147.370320217669,909.37855817325
1186.8329742621559,-190.26170115667
-3506.175976953439,10257.646969511565
-11554.70033883831,15620.626075104581
-12698.572806369237,-12114.061095452802
11331.276036622468,2574.666730447982
1285.1195389293207,-8485.944798831943
-9675.531507734297,3720.5661663350984
-1742.0601695798216,15122.99342315395
-43825.77389299849,-25753.8392465152
-2686.673461943767,-11898.032737951327
5912.187344898082,7900.005969085361
7819.69338018811,46089.25529230802
-12968.890499751702,-7838.131443642651
-19466.422692645938,-12335.244290095863
-30631.002964320247,-4756.5212073633675
-16703.968992379538,1854.3055098892441
29639.383686235524,-41422.51069624974
11951.926831486551,-5441.427916625568
-9219.579941543097,-1249.0525905503434
-7410.378052301807,-7024.833315869735
-8902.055899249393,2486.603553517098
5919.968762749399,-2941.7153146453597
10114.344942769132,-3917.387473116676
-8499.67314236888,3571.077353378895
-14764.892594897998,-4722.163945944334
-9778.741686052184,-49.360002569938665
-7306.212008573905,-3052.025203198067
326.42932677878935,7575.843299712737
-2688.1485594152755,-1749.1500418874493
-15362.80991570253,-17267.87988571309
8807.067678113946,5161.851990885651
-7722.2700111342,1013.0456418116602
23314.588783143565,3910.4217151530675
-836.7103245589585,15574.489710710943
-8497.16959338592,-1024.1037384302467
-5215.223999804402,-6194.813502844988
3514.996962005923,-1809.357711551298
-8279.8406597787,-4964.949713736463
0.5916033744972111,-7818.958668165555
-5019.314602113345,-3388.1950872905118
6875.6383357540635,-1666.5861875944747
7648.764965883075,18039.962623674623
-16900.315285346947,-5163.038946707025
-3895.0974128486123,-4825.838272995139
7785.318934250843,254.77482989603217
-11368.02730475062,-8627.57048434661
-1512.9211400988902,-12794.351237520215
2440.8099921215126,-17854.895433920276
-12742.009620601362,-1261.8399112762593
-1733.0534786249311,932.5369154063687
-14651.705736697546,-19901.712822932666
-6595.244126328803,-16622.23880351768
-3600.392714106671,-2369.2165263401835
-9556.9643605547,-17755.737207500824
