spectrum,imaginary
2302.0,-0.0
2565.666251301335,-555.4198909385091
1424.2353278471282,-264.5310576380499
1595.7523365634152,218.48481137004646
1699.654102716229,408.9514194614035
1915.2864244406555,-782.4180570499466
-587.7068680013413,-145.8454530017919
-112.77976333918816,-3609.143875668239
-13375.674977669909,2261.899670223863
-21324.26282629171,38292.455631141696
69108.58988352859,-49679.13614346902
24135.12501353649,-1020.1078321066163
24145.590803847597,-16332.923881450608
-6618.778758500619,-15752.166582059586
-25599.709828076506,18263.03390279303
-18892.689687859558,47804.025102869
44572.09234805829,33334.31130899723
44971.78351187648,4111.02275745211
47650.76774937653,-14406.402841759318
24759.913523027586,8266.480179699265
-12152.363358743354,6886.164427480551
-28121.85527281149,2210.6168782420764
-11970.871246161318,11927.572670923528
-51736.633050882185,-11696.399107840924
-490.81990980962087,9529.52739895544
15276.375693361933,3055.6429117479793
15584.899026532945,-452.91058766219567
12294.646376729752,-6869.2306675997
16735.06105677181,-10735.320136601487
-5572.429552661128,-20038.953677234444
-13484.079352913377,-7577.663402496946
-15245.157578271457,12844.837536132743
-11019.103075979092,8280.221790639112
7801.902774417702,11217.588689318862
14031.917490573822,-9220.029617792177
-10243.532724984909,34546.240593877
18127.118585874807,-4060.9223495853676
5894.540720852743,-5373.436583216309
10212.589242258484,-23764.0476158316
-8923.592540210757,-3401.573868237617
-10874.469668535732,-12243.206024267722
-16352.84045675521,-130.02286179363838
-96.26142029770776,9595.50955360667
-8438.812436336324,-6877.341570869845
9817.384972920041,462.1735074456136
5410.430244625102,507.154694848997
8086.497597851127,-1683.7330780603822
11758.632154186134,-16636.890277762323
-457.16563366978437,-12436.38160541439
124.94151691231089,-16346.682015480044
-11532.878289926693,-6436.269816629002
-8787.049610223341,-7778.991933684381
-13413.343398236324,28734.864594044644
-5989.9819235183,20554.499488979727
-7505.717074060245,-7183.340998499367
35597.82107591797,5158.566527328375
41274.00372626983,-1086.2448118515504
5797.652838272046,-20313.023520471135
-12742.609552478509,-14326.51612463163
-10291.951201986147,-3381.492394196168
7891.921490642966,5718.612956661206
897.5763465690965,7847.893513057021
5013.086813886488,-7263.863174030265
3397.611003453561,10554.494897039287
9599.079496909904,-2427.2856379029313
14320.611284153118,3140.1699711993206
-358.18789646725605,-12814.790362542968
-1435.141409113381,-6162.263168396405
-3413.5852023503403,-6109.689130508861
-9716.16801284856,-5526.544306383925
1098.058351542848,3984.5016049747314
2972.3203166945086,10236.63570612539
3918.5450830645113,-1292.295994545817
15169.893411067273,4577.8064230318205
5534.7580701587685,-443.22103581467286
6433.220755897736,-6141.006959993985
2866.4645468029253,-12504.921223080995
-5727.002775200901,-6559.884225991865
-3399.088800895187,4353.410214182292
-2927.4232597762157,6781.636906848107
-4361.087529282732,14347.00181242072
5619.834796238101,11490.376152725032
18584.032612110554,1922.76305181921
14490.677609775934,-4784.93816071963
8992.128014492846,-12489.235419617089
2886.7868321162496,-15093.47796345506
-8662.932762372047,-7543.88210747004
-15821.167158010252,4451.50861677348
-8030.674269993703,12637.921192951646
3727.3896094787797,18422.990852526127
15100.390978554562,8698.286412474006
12098.621020549399,-4114.900333045844
7798.141927248957,3027.377396272213
3975.6758936932215,469.2345063815267
19901.61068122745,-2880.2416110951203
19227.243969104067,-18436.455703827356
-8153.788437253943,-28688.642327616515
-24620.389513685535,-14337.642142837403
-22615.638578908103,9282.649723930746
-14839.075003952468,21163.055480980358
5420.7730492171,26743.332116313857
-3487.0109279027906,27122.88605519408
45501.63336338318,47044.705527224956
81965.30549869631,-50834.4279987159
54723.70310055181,-61035.039311291
-71563.76559453935,-52487.18495850229
